Transaction_ID,Account_ID,Customer_Name,Region,Account_Type,Transaction_Type,Currency,Amount,Fee_Charged,Interest_Accrued,Amount in USD,Fee charged in USD,Interest accrued in USD,Transaction_Date,Month,Year,,,,,
10001,1051,Ahmed,North,Investment,Fee,SAR,4514.06,42.38,105.37,1218.7962,11.4426,28.4499,12/02/2024,February,2024,,,,,
10002,1092,Ali,South,Investment,Deposit,USD,4957.285,50.88,51.33,4957.285,50.88,51.33,23/11/2023,November,2023,,,,,
10003,1014,Ali,East,Investment,Fee,USD,3358.18,99.95,110.7,3358.18,99.95,110.7,25/06/2023,June,2023,,,,,
10004,1071,Ahmed,South,Credit,Withdrawal,SAR,5073.74,58.01,-25.57,1369.9098,15.6627,-6.9039,04/06/2024,June,2024,,,,,
10005,1060,Huda,South,Investment,Fee,USD,7330.07,9.21,117.36,7330.07,9.21,117.36,18/01/2024,January,2024,,,,,
10006,1020,Zain,East,Savings,Withdrawal,USD,1988.79,51.91,27.46,1988.79,51.91,27.46,15/09/2023,September,2023,,,,,
10007,1082,Ali,North,Credit,Interest,SAR,2188.74,50.88,55.76,590.9598,13.7376,15.0552,13/12/2023,December,2023,,,,average,50.631256
10008,1086,Zain,South,Credit,Deposit,SAR,6319.46,28.87,36.76,1706.2542,7.7949,9.9252,29/09/2023,September,2023,,,,median,51.33
10009,1074,Omar,South,Checking,Deposit,USD,3830.75,44.6,45.14,3830.75,44.6,45.14,18/09/2023,September,2023,,,,std,55.97693282
10010,1074,Huda,East,Savings,Transfer,USD,4826.13,53.43,7.09,4826.13,53.43,7.09,31/01/2024,January,2024,,,,,
10011,1087,Ahmed,East,Checking,Interest,USD,8362.99,97.62,-16.01,8362.99,97.62,-16.01,22/11/2024,November,2024,,,,,
10012,1099,Huda,East,Checking,Withdrawal,USD,4957.285,98.22,-29.02,4957.285,98.22,-29.02,03/06/2023,June,2023,,,,,
10013,1023,Ali,East,Savings,Interest,SAR,6528.47,9.81,40.28,1762.6869,2.6487,10.8756,10/06/2024,June,2024,,,,,
10014,1002,Fatima,East,Checking,Deposit,USD,6571.18,53.81,-24.95,6571.18,53.81,-24.95,08/03/2023,March,2023,,,,,
10015,1021,Omar,West,Savings,Withdrawal,USD,8038.08,81.71,-1,8038.08,81.71,-1,29/11/2024,November,2024,,,,,
10016,1052,Ahmed,East,Savings,Interest,SAR,6385.01,23.77,-23.28,1723.9527,6.4179,-6.2856,14/12/2023,December,2023,,,,,
10017,1001,Sara,North,Checking,Deposit,SAR,657.45,75.06,-28.18,177.5115,20.2662,-7.6086,04/03/2023,March,2023,,,,,
10018,1087,Omar,South,Investment,Withdrawal,SAR,3428.31,87.86,126.49,925.6437,23.7222,34.1523,22/12/2023,December,2023,,,,,
10019,1029,Lina,North,Checking,Withdrawal,SAR,9893.27,66.25,84.81,2671.1829,17.8875,22.8987,08/10/2023,October,2023,,,,,
10020,1037,Zain,North,Credit,Deposit,SAR,1973.14,32.77,134.75,532.7478,8.8479,36.3825,10/02/2023,February,2023,,,,,
10021,1001,Huda,West,Checking,Withdrawal,SAR,5871.42,92.31,78.8,1585.2834,24.9237,21.276,23/06/2024,June,2024,,,,,
10022,1063,Ahmed,East,Savings,Deposit,SAR,8430.98,88.35,118.79,2276.3646,23.8545,32.0733,02/01/2024,January,2024,,,,,
10023,1059,Omar,South,Credit,Fee,USD,5869.72,71.58,61.06,5869.72,71.58,61.06,04/10/2023,October,2023,,,,,
10024,1020,Huda,North,Savings,Fee,USD,3728.98,36.37,42.53,3728.98,36.37,42.53,09/08/2023,August,2023,,,,,
10025,1032,Ahmed,East,Investment,Withdrawal,SAR,811.48,79.19,55.7,219.0996,21.3813,15.039,29/12/2024,December,2024,,,,,
10026,1075,Ali,East,Investment,Withdrawal,USD,3623.03,31.61,14.05,3623.03,31.61,14.05,02/03/2023,March,2023,,,,,
10027,1057,Omar,West,Credit,Deposit,USD,1828.85,25.3,81.59,1828.85,25.3,81.59,13/04/2023,April,2023,,,,,
10028,1021,Ali,West,Investment,Withdrawal,SAR,9609.02,51.5,129.43,2594.4354,13.905,34.9461,04/07/2023,July,2023,,,,,
10029,1088,Omar,West,Investment,Transfer,SAR,7153.17,50.88,106.47,1931.3559,13.7376,28.7469,27/05/2023,May,2023,,,,,
10030,1048,Ali,South,Checking,Fee,SAR,7496.34,80.43,42.4,2024.0118,21.7161,11.448,16/03/2023,March,2023,,,,,
10031,1090,Lina,North,Checking,Withdrawal,SAR,4365.33,72.98,140.78,1178.6391,19.7046,38.0106,17/04/2024,April,2024,,,,,
10032,1058,Huda,West,Investment,Withdrawal,SAR,1108.55,45.2,51.33,299.3085,12.204,13.8591,01/01/2023,January,2023,,,,,
10033,1041,Sara,West,Investment,Interest,USD,2674.5,50.88,48.62,2674.5,50.88,48.62,20/02/2024,February,2024,,,,,
10034,1091,Omar,West,Checking,Withdrawal,USD,2604.51,85.59,122.93,2604.51,85.59,122.93,13/04/2024,April,2024,,,,,
10035,1059,Lina,North,Investment,Transfer,SAR,4872.93,56.77,-49.05,1315.6911,15.3279,-13.2435,31/12/2023,December,2023,,,,,
10036,1079,Omar,North,Investment,Fee,SAR,4615.19,81.33,-36.67,1246.1013,21.9591,-9.9009,04/11/2024,November,2024,,,,,
10037,1014,Ali,West,Savings,Interest,USD,4339.75,48.78,-45.52,4339.75,48.78,-45.52,17/01/2023,January,2023,,,,,
10038,1061,Ahmed,West,Investment,Deposit,USD,4964.81,75.4,104.63,4964.81,75.4,104.63,24/05/2024,May,2024,,,,,
10039,1061,Omar,East,Credit,Deposit,USD,9870.36,86.77,-34.04,9870.36,86.77,-34.04,14/03/2024,March,2024,,,,,
10040,1046,Lina,West,Savings,Fee,SAR,2990.55,39.14,-46.59,807.4485,10.5678,-12.5793,14/06/2024,June,2024,,,,,
10041,1061,Ali,South,Credit,Deposit,SAR,6156.54,1.36,-20.52,1662.2658,0.3672,-5.5404,28/02/2023,February,2023,,,,,
10042,1050,Fatima,South,Investment,Transfer,USD,2402.68,25.49,11.26,2402.68,25.49,11.26,13/12/2024,December,2024,,,,,
10043,1054,Ali,West,Checking,Withdrawal,SAR,4671.4,91.49,42.94,1261.278,24.7023,11.5938,25/04/2023,April,2023,,,,,
10044,1063,Huda,North,Savings,Fee,USD,2008.49,68.75,-36.92,2008.49,68.75,-36.92,22/07/2023,July,2023,,,,,
10045,1002,Sara,East,Checking,Interest,SAR,5586.34,73.72,49.8,1508.3118,19.9044,13.446,26/06/2024,June,2024,,,,,
10046,1050,Fatima,North,Savings,Withdrawal,SAR,2657.47,32.53,-0.39,717.5169,8.7831,-0.1053,13/07/2023,July,2023,,,,,
10047,1006,Huda,West,Checking,Deposit,USD,377.52,70.13,4.87,377.52,70.13,4.87,16/04/2024,April,2024,,,,,
10048,1020,Huda,South,Savings,Deposit,USD,8154.56,64.63,114.38,8154.56,64.63,114.38,16/04/2023,April,2023,,,,,
10049,1072,Huda,East,Savings,Interest,SAR,1291.27,17.84,147.38,348.6429,4.8168,39.7926,06/05/2023,May,2023,,,,,
10050,1038,Ahmed,North,Credit,Transfer,USD,4957.285,96.87,42.77,4957.285,96.87,42.77,18/02/2024,February,2024,,,,,
10051,1017,Huda,North,Checking,Interest,SAR,4777,35.4,14.35,1289.79,9.558,3.8745,06/09/2024,September,2024,,,,,
